text	label
"The ""appropriate"" response to #CharlieHebdo is not to urge ""respect"" for Islam, but to assert liberty #JeSuisCharlie"	1
BREAKING: French media reporting two suspects of #CharlieHebdo attack are killed | More at:	1
I'm #muslim &amp; will forever defend freedom of speech #JeSuisCharlie.Terrorists make a mockery of Islam.	1
Six explosions heard at kosher supermarket where a number of hostages were taken #ParisAttacks	1
"Brilliant #CharlieHebdo satirists did not attack #Islam, but poked fun @ #intolerance &amp; #extremism of all kind inc #racism &amp; #islamophobia."	1
Islam is not the enemy. Muslims are not the enemy. #hatecannotdriveouthate #jesuischarlie	1
Charlie Hebdo will print 1 million copies of next issue.  #JeSuisCharlie	1
"I hope one day no one will insult the Prophet, not because of terrorist threats but because he is universally respected. #CharlieHebdo"	1
The staff of Agence France Presse stand in silence &amp; solidarity to remember their murdered colleagues. #JeSuisCharlie	1
France on high alert after deadly attack on Paris offices of Charlie Hebdo:	1
"Attack that killed policewoman south of Paris being treated as ""terrorist"", French prosecutors say"	1
I wish that all news outlets publish #CharlieHebdo 's cartoons/satire tomorrow on their front pages as a tribute to the dead. RIP	1
#CharlieHebdo will continue publishing in wake of the attack:	1
"The shooting @ ""Charlie Hebdo"", in France, is a horrible tragedy. Ignorance, hatred and cowardice has no religion, no political allegiance."	1
Update - AFP reports #CharlieHebdo will publish an edition of the magazine as normal next week	1
This image and hashtag trending in France after #CharlieHebdo attack: #JeSuisCharlie	1
#CharlieHebdo shootings lead to firebomb attacks on French mosques  (Pic: J F Monier/AFP)	1
2nd hostage situation unfolding in France as SWAT teams respond to situation at grocery in Paris neighborhood -	1
Indian artist Sudarsan Pattnaik and his tribute to those killed in the attack on Charlie Hebdo	1
Every time I think I see the best #CharlieHebdo cartoon another great one comes out. #JeSuisCharlie	1
"Some press now blurring CharlieHebdo cartoons as cartoonists foresaw. This one says ""Charlie Hebdo Should be Veiled"""	1
"Standing up for freedom of speech, I am tweeting the #CharlieHebdo cartoon   My homage to the French martyrs"	1
Charlie Hebdo: Don’t blame this bloodshed on France’s Muslims | Nabila Ramdani	1
"Much respect to  for this. Seriously, thank you:"	1
Is this the day that free speech died a little?  cartoonist's poignant response to the #CharlieHebdo attack	1
"Am so shocked.Charlie Hebdo's editors,journalists,cartoonists are killed by Islamic terrorists.Time to declare Islam as terrorists' religion"	1
"Cartoonists around the world continue to show support for #CharieHebdo, this by famous #DRCongo's Kash #JeSuisCharlie"	1
"How the Jewish pro-censorship lobby legitimized attacks on Carlie Hebdo for ""offensive"" speech  #CharlieHebdo"	1
Pencil sketch tribute... #JeSuisCharlie	1
#CharlieHebdo. The two terrorists are dead. The hostage is alive.	1
Please RT petition calling for solidarity w #CharlieHebdo  …	1
British press publish horrifying photos of police officer being murdered - but not Charlie Hebdo cartoons. Strange values. #JeSuisCharlie	1
Oh France.... my heart breaks for the horrible terrorist attack on my beloved Paris.  Je t'aime	1
