id,title,label
8476,You Can Smell Hillary’s Fear,0
10294,Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO),0
3608,Kerry to go to Paris in gesture of sympathy,1
10142,Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!',0
875,The Battle of New York: Why This Primary Matters,1
6903,"Tehran, USA",0
7341,Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On,0
95,‘Britain’s Schindler’ Dies at 106,1
4869,Fact check: Trump and Clinton at the 'commander-in-chief' forum,1
2909,Iran reportedly makes new push for uranium concessions in nuclear talks,1
1357,"With all three Clintons in Iowa, a glimpse at the fire that has eluded Hillary Clinton’s campaign",1
988,Donald Trump’s Shockingly Weak Delegate Game Somehow Got Even Worse,1
7041,"Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO]",0
7623,10 Ways America Is Preparing for World War 3,0
1571,"Trump takes on Cruz, but lightly",1
4739,How women lead differently,1
7737,Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters,0
8716,Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS,0
3304,What's in that Iran bill that Obama doesn't like?,1
3078,The 1 chart that explains everything you need to know about partisanship in America,1
2517,The slippery slope to Trump’s proposed ban on Muslims,1
10348,Episode #160 – SUNDAY WIRE: ‘Hail to the Deplorables’ with special guest Randy J,0
778,Hillary Clinton Makes A Bipartisan Appeal on Staten Island,1
3300,New Senate majority leader’s main goal for GOP: Don’t be scary,1
6155,‘Inferno’ and the Overpopulation Myth,0
636,Anti-Trump forces seek last-ditch delegate revolt,1
755,Sanders Trounces Clinton in W. Va. -- But Will It Make a Difference?,1
626,Donald Trump Is Changing His Campaign Slogan to Prove He’s Not Racist,1
691,Pure chaos: Donald Trump’s campaign management offers a glimpse into his governing style (spoiler alert: it’s terrible),1
5743,"Syrian War Report – November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo",0
1787,GOP insiders: Carly crushed it,1
7808,Jeffrey Sewell et al. : Metabiology face to face with Artificial Intelligence [VIDEO],0
6484,Why It’s Necessary To Relax Into A Stretch,0
7385,"Brexit Encourages UK to Trade With Non-EU States, Including Russia",0
9016,"2016 interview with Socrates: Another day of Life in the Empire! Are we near an endgame, or fools to ever ‘hope for change’? (6 of ?)",0
9324,Mike Pence Drapes Shawl Over Immodest Lady Justice Statue - The Onion - America's Finest News Source,0
8983,First Ever Hindu Woman Elected into Congress,0
8965,Donald Groped Hillary in 2005! Trump and Weiner Sext Each Other!,0
5580,Ex-Assistant FBI Director: Clintons Are a Crime Family,0
9757,Hillary Wants Aggressively Interventionist Foreign Policy,0
1967,Both parties want to craft populist messages for 2016,1
431,First Take: Wall Street bids goodbye to June hike,1
5955,1 Disclosure! Secret Alien Base Found In Moon's Tycho Crater,0
7455,Homeless Woman Protects Trump’s Walk of Fame Star From Violent Leftists,0
5224,"With 3:20 a.m. tweet storm Saturday, Clinton continues to mock Trump’s Friday ‘meltdown’",1
7793,220 ‘Significant’ Pipeline Spills Already This Year Exposes Troubling Safety Record,0
2777,Obama makes the right call to tough it out in Afghanistan,1
587,Senate race rankings: Dems attack as GOP lays swing-state groundwork,1
9403,‘He didn’t know the boy didn’t want to be raped’ – court throws out Muslim migrant child sex charge and Germans are in shock,0
5931,Pieczenik “Rogue FBI Agents and Wikileaks are Spearheading a Movement to Stop the Clintons from Stealing the White House” – TruthFeed,0
3027,American politics has reached peak polarization,1
4377,Anti-Muhammad cartoon contest: Free speech or deliberately provocative? (+video),1
5937,"3 Effects of Substance Abuse on Individual, Family and Community",0
7277,Tree Shaped Vertical Farms That Grow 24 Acres Of Urban Crops,0
5521,New Comment Features have been Added,0
3627,World's newspapers react to 'Hebdo' attack,1
9360,Ying and Yang (the Gold and Silver Set-Up),0
909,"Closed primaries, 'warped' democracy?",1
6646,Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protestors,0
1522,Donald Trump: Hillary Clinton has 'caused tremendous death',1
7540,Detroit women’s Halloween decorations depict ‘1-life horrors’ … such as shootings police by police,0
1834,Biden makes another surprise political stop,1
1775,"Hillary Clinton's declining favorability numbers, in context",1
8212,Comment on Quid Pro Quo? Wikileaks Email Reveals Clinton Campaign Eyeing Paul Ryan’s Relative for Supreme Court by lenore.lee,0
3363,Hillary Clinton: The criminal investigation keeps moving forward,1
1084,Rubio’s parting shot at Trump,1
4410,Loretta Lynch becomes first African-American woman AG.,1
2669,Why it's funny Republicans are upset with Facebook: Column,1
3648,FBI checking if Orlando shooter's wife knew attack plan but didn't warn police,1
6197,Is google and YouTube in the Hillary's purse?,0
596,Handicapping the Hispanic vote for 2016 GOPers,1
6061,Truth Will Out Radio: The Laconia Incident,0
1569,GOP establishment nightmare? Ted Cruz vs. Donald Trump,1
1178,Bernie Sanders lost poor voters in South Carolina by a big margin — a problem for his political revolution,1
9545,Should I Get Botox?,0
1506,Jeb Bush Picks Up Endorsement From Lindsey Graham,1
1641,"2016 Republican race enters a new, volatile phase",1
139,"‘Hands up, don’t shoot’ was built on a lie",1
7744,Lavrov and Kerry discuss Syrian settlement,0
8177,BREAKING : DOJ Says They Will “HELP” Review the 650K Emails – TruthFeed,0
4134,Bernie Sanders' call for ouster of two convention co-chairs rejected,1
917,Five Reasons the New York Democratic Primary Felt Competitive,1
3854,"To get around Congress, Obama turns to city halls",1
7049,Celebrity Deathmatch: Darkmoon Sages Make Their Final Predictions on US Election,0
3343,John Kerry: ISIS responsible for genocide,1
4348,Mitt Romney's Re-Invention As Anti-Poverty Warrior,1
3424,King: Fill the Supreme Court vacancy,1
1718,"Ted Cruz is toast: It’s not just that he won’t be president — his days in the Senate are numbered, too",1
143,Obama’s speech in Selma was an answer to those who question his love for America,1
930,Where Does Bernie Sanders Go From Here?,1
1661,Exclusive: GOP campaigns plot revolt against RNC,1
7801,Revelation Unleashed: Unlocking The Mysteries Of The Bible’s Most Mysterious Book,0
10232,Silent Counter-Coup by 17 Intel Agencies To Stop Crooked Clintons [Video],0
1360,"Why Hillary Clinton, not Bernie Sanders, 'won' town hall",1
3635,French police hunt two brothers accused of Charlie Hebdo terror attack,1
8290,"The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof)",0
6227,CNN: One voter can make a difference by voting repeatedly,0
3255,Give Social Security recipients a CEO-style raise,1
3177,"Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate",1
2832,"Obama, sounding like his critics, admits no 'complete strategy' for Iraq",1
4294,How Ted Cruz Became Ted Cruz,1
5316,Newly Approved GM Potatoes Have Potential to Silence Human Genes,0
1524,Accord reached after Sanders sues the DNC over suspended access to critical voter list,1
2974,Why the latest Patriot Act reform won’t be enough to rein in the NSA,1
3364,"FBI expands probe of Clinton emails, launches independent classification review",1
4933,Where is Gary Johnson?,1
5530,"The Arcturian Group by Marilyn Raffaele October 23, 2016 [VIDEO]",0
7680,Nuclear weapons question,0
10490,Kevin MacDonald celebrates Trump’s Amazing Victory,0
9413,"The amazing AquTru water filter, version 2.0, is now in stock: I've snagged 500 units for Natural News readers at a deep discount",0
4880,What happens if Clinton drops out?,1
3512,Brothers ID'd as suicide bombers in Belgium,1
8685,Glorifying Violence,0
6763,Russia may run out of patience and respond to USA's rudeness,0
7730,The David Duke Show: Hillary’s Treason and Why Trump & Duke Will Win,0
2546,Don't blame all immigrants for San Francisco shooting,1
2596,Netanyahu: I Won't Allow Israel to Be 'Submerged' by Refugees,1
7362,APOCALYPSE NOW: Trump Voters Warn Of ‘Revolution’ If Clinton Wins,0
7513,"Geo-Engineering Unlikely to Work, Conservation Group Says",0
1475,3 Questions Ahead Of Tonight's Democratic Debate,1
2232,Obama's terror strategy is failing: US must heed lessons of 9/11,1
6247,“Bernie needs to be ground to a pulp.” Leaked Email to John Podesta in February,0
127,Selma 50 years on: John Lewis's recalls the march,1
6025,“We Were Long Overdue A Presidential Assassination Anyway”,0
10122,"Flip-flop: Vox warns of serious risk of Election Day violence, and not the good kind either",0
4979,Third-party presidential candidates fight for 15% in polls – and a spot in debates,1
1700,"Bush, Rubio and Kasich eye one another in the shadow of Trump",1
9398,Comey Must Explain Why He Advised Obama Not to Publicly Accuse Russia of Hacking Democrats,0
10427,"Putin Congratulates Trump, Says Russia Is Ready To Restore Relations With The US",0
7099,Monsieur Malbrough est Mort | New Eastern Outlook,0
4500,Conspiracy theories swirl around the death of Antonin Scalia,1
8013,"What is one more election thread, ehhh?",0
2199,McCain: Trump doesn't understand Syria,1
4943,Trump manager says 'undercover voters' will deliver win in US election,1
10092,Re: WikiLeaks: ‘How is what Bill Clinton did different from what Bill Cosby did?’ #PodestaEmails20,0
9121,"REPORT: Megyn Trashes Trump, Newt… Then Murdoch Announces Replacements Are Available",0
8122,Suspect captured in ‘ambush-style’ killings of two Iowa cops,0
8988,Re: 10 Things That Every American Should Know About Donald Trump’s Plan To Save The U.S. Economy,0
2115,The next president can have a big impact on climate policy — even without Congress,1
8682,Look at the SHOCKING Number of Kids Born To Illegals in 2014,0
6350,Mother And Daughter Remind MSNBC Reporter That Trump Has Black Supporters,0
4597,Justice Department Staffers Monitor Polls on Election Day,1
7818,Elizabeth Warren Just Blasted The FBI Director For Going After Hillary Instead Of Wall Street Crooks,0
677,Poll: 71 percent of Dems think Clinton should keep running even if indicted,1
6408,Trumped!,0
3004,Is the Iran deal unraveling? Think again. | Institution,1
8357,Saturn’s Baffling Hexagon — The Raging Storm Four Times the Size of Earth has Changed Its Colors,0
10511,"Cyrus Mistry renames himself Rohit Sharma-Mistry, gets job back",0
8322,The FBI intervenes in the 2016 election,0
6212,"Re: If Donald Trump Wins, He Will Be 70 Years, 7 Months And 7 Days Old On His First Full Day In Office",0
172,Shutdown clash to return in force by December,1
