theme, label, id, tweet_text, tweet_author,
charliehebdo, 1, 552846463467024384, The "appropriate" response to #CharlieHebdo is not to urge "respect" for Islam, but to assert liberty #JeSuisCharlie , Archbishop Cranmer ,
charliehebdo, 1, 553589970775343104, BREAKING: French media reporting two suspects of #CharlieHebdo attack are killed | More at:  , Al Jazeera English,
charliehebdo, 1, 552825459546030080, I'm #muslim &amp; will forever defend freedom of speech #JeSuisCharlie.Terrorists make a mockery of Islam. , Suzanne Sallam,
charliehebdo, 1, 553586510260629505, Six explosions heard at kosher supermarket where a number of hostages were taken #ParisAttacks  , Sky News,
charliehebdo, 1, 552830668607348736, Brilliant #CharlieHebdo satirists did not attack #Islam, but poked fun @ #intolerance &amp; #extremism of all kind inc #racism &amp; #islamophobia., Peter Bouckaert,
charliehebdo, 1, 552985339011153920, Islam is not the enemy. Muslims are not the enemy. #hatecannotdriveouthate #jesuischarlie, Jose Antonio Vargas,
charliehebdo, 1, 553225809444749313, Charlie Hebdo will print 1 million copies of next issue.  #JeSuisCharlie , Boing Boing,
charliehebdo, 1, 552837775498964992, I hope one day no one will insult the Prophet, not because of terrorist threats but because he is universally respected. #CharlieHebdo, Iyad El-Baghdadi,
charliehebdo, 1, 553157600704204800, The staff of Agence France Presse stand in silence &amp; solidarity to remember their murdered colleagues. #JeSuisCharlie , Louise Brealey,
charliehebdo, 1, 552829571750715392, France on high alert after deadly attack on Paris offices of Charlie Hebdo:  , Reuters Top News,
charliehebdo, 1, 553188115033387008, Attack that killed policewoman south of Paris being treated as "terrorist", French prosecutors say  , BBC Breaking News,
charliehebdo, 1, 552802714816905216, I wish that all news outlets publish #CharlieHebdo 's cartoons/satire tomorrow on their front pages as a tribute to the dead. RIP, Benjamin Weinthal,
charliehebdo, 1, 553193866057506817, #CharlieHebdo will continue publishing in wake of the attack:  , Wall Street Journal,
charliehebdo, 1, 552822043490938881, The shooting @ "Charlie Hebdo", in France, is a horrible tragedy. Ignorance, hatred and cowardice has no religion, no political allegiance., Jeff Stinco,
charliehebdo, 1, 553151201253294080, Update - AFP reports #CharlieHebdo will publish an edition of the magazine as normal next week, Sky News Newsdesk,
charliehebdo, 1, 552825257707335680, This image and hashtag trending in France after #CharlieHebdo attack: #JeSuisCharlie , David Clinch,
charliehebdo, 1, 553166766977740801, #CharlieHebdo shootings lead to firebomb attacks on French mosques  (Pic: J F Monier/AFP) , The Telegraph,
charliehebdo, 1, 553537460920389633, 2nd hostage situation unfolding in France as SWAT teams respond to situation at grocery in Paris neighborhood -  , Breaking News,
charliehebdo, 1, 553155988917075968, Indian artist Sudarsan Pattnaik and his tribute to those killed in the attack on Charlie Hebdo , Agence France-Presse,
charliehebdo, 1, 553567184002502656, Every time I think I see the best #CharlieHebdo cartoon another great one comes out. #JeSuisCharlie , Bipartisan Report,
charliehebdo, 1, 552821573946982401, Some press now blurring CharlieHebdo cartoons as cartoonists foresaw. This one says "Charlie Hebdo Should be Veiled" , Philip Gourevitch,
charliehebdo, 1, 552834808121163776, Standing up for freedom of speech, I am tweeting the #CharlieHebdo cartoon   My homage to the French martyrs, Saswati Sarkar,
charliehebdo, 1, 553509146730176513, Charlie Hebdo: Don’t blame this bloodshed on France’s Muslims | Nabila Ramdani , The Guardian,
charliehebdo, 1, 553129378969047043, Much respect to  for this. Seriously, thank you:
 , Miranda Celeste Hale,
charliehebdo, 1, 552831506041683970, Is this the day that free speech died a little?  cartoonist's poignant response to the #CharlieHebdo attack , Hans Arents,
charliehebdo, 1, 552851679905734657, Am so shocked.Charlie Hebdo's editors,journalists,cartoonists are killed by Islamic terrorists.Time to declare Islam as terrorists' religion, taslima nasreen ,
charliehebdo, 1, 553157352091025408, Cartoonists around the world continue to show support for #CharieHebdo, this by famous #DRCongo's Kash #JeSuisCharlie , Thomas Fessy,
charliehebdo, 1, 553180005514366976, How the Jewish pro-censorship lobby legitimized attacks on Carlie Hebdo for "offensive" speech  #CharlieHebdo, WikiLeaks,
charliehebdo, 1, 553194557316542465, Pencil sketch tribute... #JeSuisCharlie , Darren Bird Art,
charliehebdo, 1, 553589869810028544, #CharlieHebdo. The two terrorists are dead. The hostage is alive., Gérard Araud,
charliehebdo, 1, 552831524002103297, Please RT petition calling for solidarity w #CharlieHebdo  …    , Chris Moos,
charliehebdo, 1, 553110783761338368, British press publish horrifying photos of police officer being murdered - but not Charlie Hebdo cartoons. Strange values. #JeSuisCharlie, Joan Smith,
