title	label
Says the Annies List political group supports third-trimester abortions on demand.	4
Hillary Clinton agrees with John McCain "by voting to give George Bush the benefit of the doubt on Iran."	1
Health care reform legislation is likely to mandate free sex change surgeries.	4
The economic turnaround started at the end of my term.	2
Jim Dunnam has not lived in the district he represents for years now.	3
For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.	1
Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.	2
When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.	4
The economy bled $24 billion due to the government shutdown.	1
Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.	3
U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out	3
Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.	2
Almost 100,000 people left Puerto Rico last year.	1
Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.	4
The United States has the highest corporate tax rate in the free world.	1
We just had the best year for the auto industry in America in history.	1
Says Scott Walker favors cutting up to 350,000 families and children off health care.	2
Says Mitt Romney wants to get rid of Planned Parenthood.	3
I dont know who (Jonathan Gruber) is.	4
Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.	1
ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.	4
Youth unemployment in minority communities is about 40 to 45 percent.	1
Says Paul Ryan is still endorsing Trump.	0
We cut business taxes so today 70 percent of our businesses dont pay a business tax.	1
Says Mark Pryor votes with Obama 93 percent of the time.	1
We have a federal government that thinks they have the authority to regulate our toilet seats.	0
Austin is a city that has basically doubled in size every 25 years or so since it was founded.	0
Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.	0
Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.	4
Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.	2
Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company	5
African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.	2
